Index,min,max,avg,std
Internal Density,0.17045454545454544,0.25,0.23075757575757577,0.03083472932585455
Edges inside,10.0,45.0,17.8,13.687950905814938
Average Degree,4.0,7.5,4.833333333333334,1.3581032524975574
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,4.0,23.833333333333332,10.363333333333333,7.161024135322172
Cut Ratio,0.0020294266869609334,0.012098138747884941,0.005260791528650541,0.003634166253172264
Conductance,0.3793103448275862,0.8362573099415205,0.6262691812736507,0.16397136981625632
Normalized Cut,0.4001200307905071,0.8874567370807972,0.6493324642700152,0.17362547241580187
Maximum-ODF,8.0,116.0,38.8,39.10703261563066
Average-ODF,4.0,23.833333333333332,10.363333333333333,7.161024135322172
Flake-ODF,0.08333333333333333,0.8,0.5499999999999999,0.24449494427856333
