Index,min,max,avg,std
Internal Density,0.032668881506090805,0.20833333333333334,0.1012120423184119,0.044088065909095836
Edges inside,5.0,118.0,34.95238095238095,31.291983136528433
Average Degree,2.5,7.103448275862069,4.148890420179226,1.2998504003643534
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,0.6153846153846154,24.166666666666668,7.748992966000068,6.422089037253798
Cut Ratio,0.000313491907990125,0.012267343485617596,0.003945299914471916,0.0032604825224200056
Conductance,0.12903225806451613,0.8895705521472392,0.5689868172412912,0.20642063167658758
Normalized Cut,0.13207177174232768,0.9412639567818204,0.6027316569690127,0.21895230266357374
Maximum-ODF,2.0,116.0,50.666666666666664,44.78874575193803
Average-ODF,0.6153846153846154,24.166666666666668,7.748992966000068,6.422089037253798
Flake-ODF,0.0,0.8333333333333334,0.32924427666036093,0.2022514733009121
