Index,min,max,avg,std
Internal Density,0.010157487652595285,0.20833333333333334,0.08224243710366987,0.06289522095489081
Edges inside,5.0,436.0,99.2,126.05776453673927
Average Degree,2.5,6.0344827586206895,4.411901965030043,1.2691225258907135
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,0.6153846153846154,16.77777777777778,4.713318161039837,4.2853492635227175
Cut Ratio,0.000313491907990125,0.008529627746709597,0.0024246041192582187,0.0021765512038325763
Conductance,0.12903225806451613,0.8342541436464088,0.4559154046787782,0.1756867301137197
Normalized Cut,0.13207177174232768,0.8882019821601638,0.5142514691078308,0.18670037638430725
Maximum-ODF,2.0,116.0,51.5,45.8437563905926
Average-ODF,0.6153846153846154,16.77777777777778,4.713318161039837,4.2853492635227175
Flake-ODF,0.0,0.6,0.23792610235959985,0.1711825124619879
