Index,min,max,avg,std
Internal Density,0.04666666666666667,0.225,0.12207633932181444,0.04241838408229479
Edges inside,5.0,75.0,23.102564102564102,16.291880739827512
Average Degree,2.5,7.142857142857143,3.964357084176089,1.0316021060900369
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,0.6153846153846154,31.666666666666668,8.57718354881251,6.852649757374627
Cut Ratio,0.000313491907990125,0.016074450084602367,0.004361388066010439,0.0034774504867144287
Conductance,0.12903225806451613,0.9134615384615384,0.6188618407256496,0.16401204807326275
Normalized Cut,0.13207177174232768,0.9801282051282051,0.6482249198239366,0.17513513634346906
Maximum-ODF,2.0,118.0,39.82051282051282,36.09735539348668
Average-ODF,0.6153846153846154,31.666666666666668,8.57718354881251,6.852649757374627
Flake-ODF,0.0,0.8,0.4340871437930262,0.18625011381398035
