Index,min,max,avg,std
Internal Density,0.04891304347826087,0.20833333333333334,0.15143055505835326,0.03901816954675364
Edges inside,5.0,60.0,15.44943820224719,10.897903350516202
Average Degree,2.5,7.0588235294117645,3.6488421984125883,0.9517566228792765
FOMD,1.0,1.0,1.0,0.0
TPR,1.0,1.0,1.0,0.0
Expansion,0.9,38.0,10.569402591973642,8.087655908306123
Cut Ratio,0.0004577822990844354,0.019269776876267748,0.005367276322534977,0.004101566970739678
Conductance,0.17647058823529413,0.9382716049382716,0.6779352491722738,0.1543593406817477
Normalized Cut,0.17987323473812966,0.9921723141581297,0.704015531676044,0.16414529728526978
Maximum-ODF,4.0,118.0,39.89887640449438,35.50187364696965
Average-ODF,0.9,38.0,10.569402591973642,8.087655908306123
Flake-ODF,0.0,1.0,0.5354156088458798,0.2099083404763293
