Index,min,max,avg,std
Internal Density,0.008258525764071677,0.25,0.06439035934793273,0.08774194431391631
Edges inside,1.0,11708.0,5097.833333333333,4576.758839202937
Average Degree,1.0,31.81925343811395,17.251610445650595,12.04252743615052
FOMD,1.0,1.0,1.0,0.0
TPR,0.0,0.9194499017681729,0.7043468320126505,0.33118959512121415
Expansion,0.0,28.532416502946955,15.421706724387441,11.19764625917314
Cut Ratio,0.0,0.015642772205563024,0.008721327177985955,0.00620325044161607
Conductance,0.0,0.6167365509858149,0.3755533462240292,0.19254536282716134
Normalized Cut,0.0,0.6774808065106162,0.4529200830602262,0.23238092110985242
Maximum-ODF,0.0,496.0,284.1666666666667,204.15142800273418
Average-ODF,0.0,28.532416502946955,15.421706724387441,11.19764625917314
Flake-ODF,0.0,0.5985401459854015,0.26557506474160403,0.18355618616089817
